"Backwarder"|-0.245674327015877|"3"|"53"|"Backwarder"
"Boy 1"|0.327776312828064|"3"|"53"|"Backwarder"
"Boy 2"|0.380981087684631|"3"|"53"|"Backwarder"
"Boys"|-0.249628901481628|"3"|"53"|"Backwarder"
"Cat Noir"|-0.116305804914898|"3"|"53"|"Backwarder"
"Doctor"|-0.0844650069872538|"3"|"53"|"Backwarder"
"Gabriel"|-0.148825645446777|"3"|"53"|"Backwarder"
"Hawk Moth"|0.312483602099948|"3"|"53"|"Backwarder"
"Juleka"|0.206787109375|"3"|"53"|"Backwarder"
"Ladybug"|-0.103019573858806|"3"|"53"|"Backwarder"
"Ladybug & Cat Noir"|-0.271977782249451|"3"|"53"|"Backwarder"
"Marianne"|0.274033665657043|"3"|"53"|"Backwarder"
"Marinette"|-0.0288052853000791|"3"|"53"|"Backwarder"
"Master Fu"|-0.0454867449071672|"3"|"53"|"Backwarder"
"Mr. Ramier"|0.24028335014979|"3"|"53"|"Backwarder"
"Mrs. Tsurugi"|-0.202642008662224|"3"|"53"|"Backwarder"
"Ms. Lenoir"|-0.0200363970719851|"3"|"53"|"Backwarder"
"Mylène"|0.213537603616714|"3"|"53"|"Backwarder"
"Nazi"|0.241373658180237|"3"|"53"|"Backwarder"
"Passenger"|-0.670963227748871|"3"|"53"|"Backwarder"
"Pharmacist"|0.170322060585022|"3"|"53"|"Backwarder"
"Plagg"|-0.44935941696167|"3"|"53"|"Backwarder"
"Rose"|0.251353805263837|"3"|"53"|"Backwarder"
"Tikki"|0.00932928671439489|"3"|"53"|"Backwarder"
"Train conductor"|-0.332447012265523|"3"|"53"|"Backwarder"
"Wayzz"|-0.17084226757288|"3"|"53"|"Backwarder"
"Adrien"|-0.0564495325088501|"3"|"57"|"Bakerix"
"Alya"|-0.505057200789452|"3"|"57"|"Bakerix"
"André"|-0.587292939424515|"3"|"57"|"Bakerix"
"Bakerix"|-0.496244853569402|"3"|"57"|"Bakerix"
"Bus Driver"|-0.33920955657959|"3"|"57"|"Bakerix"
"Cat Noir"|0.0346543302661494|"3"|"57"|"Bakerix"
"Chloé"|0.18863844871521|"3"|"57"|"Bakerix"
"Gilbert"|0.431060284376144|"3"|"57"|"Bakerix"
"Gina"|0.452725291252136|"3"|"57"|"Bakerix"
"Hawk Moth"|0.00524739176034927|"3"|"57"|"Bakerix"
"Ladybug"|-0.0161672547459602|"3"|"57"|"Bakerix"
"Ladybug and Cat Noir"|-0.271977782249451|"3"|"57"|"Bakerix"
"Marinette"|0.0541153497272922|"3"|"57"|"Bakerix"
"Nadja"|-0.64599472284317|"3"|"57"|"Bakerix"
"Nino"|0.400077104568481|"3"|"57"|"Bakerix"
"Rolland"|-0.177298586964607|"3"|"57"|"Bakerix"
"Rolland and Marinette"|-0.660163268446922|"3"|"57"|"Bakerix"
"Sabine"|-0.243545255490712|"3"|"57"|"Bakerix"
"Tikki"|0.162799381547504|"3"|"57"|"Bakerix"
"Tom"|0.125487357378006|"3"|"57"|"Bakerix"
" Adrien"|-0.651455760002136|"2"|"31"|"Befana"
" Marinette"|-0.108754575252533|"2"|"31"|"Befana"
" Sabine"|-0.738653719425201|"2"|"31"|"Befana"
" Tom"|-0.0828102827072144|"2"|"31"|"Befana"
"Adrien"|0.0987135827541351|"2"|"31"|"Befana"
"Alya"|-0.054596734046936|"2"|"31"|"Befana"
"André"|0.376638412475586|"2"|"31"|"Befana"
"Befana"|-0.228603729430367|"2"|"31"|"Befana"
"Cat Noir"|-0.242165056498427|"2"|"31"|"Befana"
"Gina"|0.0907824886472602|"2"|"31"|"Befana"
"Hawk Moth"|-0.00260890126228333|"2"|"31"|"Befana"
"Juleka"|-0.175793766975403|"2"|"31"|"Befana"
"Ladybug"|-0.299579217036565|"2"|"31"|"Befana"
"Ladybug and Cat Noir"|-0.271977782249451|"2"|"31"|"Befana"
"Marinette"|-0.0437883144738723|"2"|"31"|"Befana"
"Max"|-0.637713193893433|"2"|"31"|"Befana"
"Plagg"|-0.744587481021881|"2"|"31"|"Befana"
"Rose"|-0.602117478847504|"2"|"31"|"Befana"
"Sabine"|-0.151542714238167|"2"|"31"|"Befana"
"Tikki"|0.108631259865231|"2"|"31"|"Befana"
"Tom"|-0.155565936457027|"2"|"31"|"Befana"
" Adrien"|-0.651455760002136|"2"|"39"|"Captain Hardrock"
"Adrien"|0.185527588639941|"2"|"39"|"Captain Hardrock"
"Alya"|-0.208841377496719|"2"|"39"|"Captain Hardrock"
"Anarka"|-0.108570859829585|"2"|"39"|"Captain Hardrock"
"André"|0.557458639144897|"2"|"39"|"Captain Hardrock"
"Captain Hardrock"|-0.0222090760866801|"2"|"39"|"Captain Hardrock"
"Cat Noir"|-0.143680344025294|"2"|"39"|"Captain Hardrock"
"Gabriel"|-0.216193908452988|"2"|"39"|"Captain Hardrock"
"Hawk Moth"|0.0411131829023361|"2"|"39"|"Captain Hardrock"
"Ivan"|-0.694240421056747|"2"|"39"|"Captain Hardrock"
"Juleka"|-0.416328847408295|"2"|"39"|"Captain Hardrock"
"Ladybug"|-0.121383389601341|"2"|"39"|"Captain Hardrock"
"Ladybug and Cat Noir"|-0.271977782249451|"2"|"39"|"Captain Hardrock"
"Luka"|0.175899797677994|"2"|"39"|"Captain Hardrock"
"Marinette"|-0.123765430450439|"2"|"39"|"Captain Hardrock"
"Mylène"|0.396199703216553|"2"|"39"|"Captain Hardrock"
"Nadja"|0.200268864631653|"2"|"39"|"Captain Hardrock"
"Nino"|-0.349669287602107|"2"|"39"|"Captain Hardrock"
"Plagg"|0.189494885504246|"2"|"39"|"Captain Hardrock"
"Roger"|-0.176987069348494|"2"|"39"|"Captain Hardrock"
