"Train conductor"|-0.332447012265523|"3"|"53"
"Wayzz"|-0.17084226757288|"3"|"53"
"Adrien"|-0.0564495325088501|"3"|"57"
"Alya"|-0.505057200789452|"3"|"57"
"André"|-0.587292939424515|"3"|"57"
"Bakerix"|-0.496244853569402|"3"|"57"
"Bus Driver"|-0.33920955657959|"3"|"57"
"Cat Noir"|0.0346543302661494|"3"|"57"
"Chloé"|0.18863844871521|"3"|"57"
"Gilbert"|0.431060284376144|"3"|"57"
"Gina"|0.452725291252136|"3"|"57"
"Hawk Moth"|0.00524739176034927|"3"|"57"
"Ladybug"|-0.0161672547459602|"3"|"57"
"Ladybug and Cat Noir"|-0.271977782249451|"3"|"57"
"Marinette"|0.0541153497272922|"3"|"57"
"Nadja"|-0.64599472284317|"3"|"57"
"Nino"|0.400077104568481|"3"|"57"
"Rolland"|-0.177298586964607|"3"|"57"
"Rolland and Marinette"|-0.660163268446922|"3"|"57"
"Sabine"|-0.243545255490712|"3"|"57"
"Tikki"|0.162799381547504|"3"|"57"
"Tom"|0.125487357378006|"3"|"57"
" Adrien"|-0.651455760002136|"2"|"31"
" Marinette"|-0.108754575252533|"2"|"31"
" Sabine"|-0.738653719425201|"2"|"31"
" Tom"|-0.0828102827072144|"2"|"31"
"Adrien"|0.0987135827541351|"2"|"31"
"Alya"|-0.054596734046936|"2"|"31"
"André"|0.376638412475586|"2"|"31"
"Befana"|-0.228603729430367|"2"|"31"
"Cat Noir"|-0.242165056498427|"2"|"31"
"Gina"|0.0907824886472602|"2"|"31"
"Hawk Moth"|-0.00260890126228333|"2"|"31"
"Juleka"|-0.175793766975403|"2"|"31"
"Ladybug"|-0.299579217036565|"2"|"31"
"Ladybug and Cat Noir"|-0.271977782249451|"2"|"31"
"Marinette"|-0.0437883144738723|"2"|"31"
"Max"|-0.637713193893433|"2"|"31"
"Plagg"|-0.744587481021881|"2"|"31"
"Rose"|-0.602117478847504|"2"|"31"
"Sabine"|-0.151542714238167|"2"|"31"
"Tikki"|0.108631259865231|"2"|"31"
"Tom"|-0.155565936457027|"2"|"31"
" Adrien"|-0.651455760002136|"2"|"39"
"Adrien"|0.185527588639941|"2"|"39"
"Alya"|-0.208841377496719|"2"|"39"
"Anarka"|-0.108570859829585|"2"|"39"
"André"|0.557458639144897|"2"|"39"
"Captain Hardrock"|-0.0222090760866801|"2"|"39"
"Cat Noir"|-0.143680344025294|"2"|"39"
"Gabriel"|-0.216193908452988|"2"|"39"
"Hawk Moth"|0.0411131829023361|"2"|"39"
"Ivan"|-0.694240421056747|"2"|"39"
"Juleka"|-0.416328847408295|"2"|"39"
"Ladybug"|-0.121383389601341|"2"|"39"
"Ladybug and Cat Noir"|-0.271977782249451|"2"|"39"
"Luka"|0.175899797677994|"2"|"39"
"Marinette"|-0.123765430450439|"2"|"39"
"Mylène"|0.396199703216553|"2"|"39"
"Nadja"|0.212069272994995|"2"|"39"
"Nino"|-0.349669287602107|"2"|"39"
"Plagg"|0.189494885504246|"2"|"39"
"Roger"|-0.176987069348494|"2"|"39"
"Rose"|0.292221128940582|"2"|"39"
"Tikki"|-0.259754955768585|"2"|"39"
"Adrien"|-0.125142326205969|"3"|"73"
"Alix"|-0.302760004997253|"3"|"73"
"All the girls except Marinette"|0.165584683418274|"3"|"73"
"Alya"|0.475610375404358|"3"|"73"
"Alya, Rose, and Juleka"|-0.666009604930878|"3"|"73"
"Alya, Rose, Juleka, and Mylène"|-0.568183451890945|"3"|"73"
"Bunnyx"|-0.102405627568563|"3"|"73"
"Cat Blanc"|-0.196263702292191|"3"|"73"
"Cat Noir"|-0.381061775485675|"3"|"73"
"Chloé"|-0.769710853695869|"3"|"73"
"Gabriel"|-0.112585835158825|"3"|"73"
"Hawk Moth"|0.171116468310356|"3"|"73"
"ja"|-0.734825044870377|"3"|"73"
"Ladybug"|-0.148452831262892|"3"|"73"
"Ladybug from 10 minutes"|0.364058971405029|"3"|"73"
"Marinette"|-0.365518534183502|"3"|"73"
"Mylène"|0.150342086950938|"3"|"73"
"Nadja"|-0.662488669157028|"3"|"73"
"Nathalie"|-0.189006224274635|"3"|"73"
"Plagg"|-0.413233584165573|"3"|"73"
"Rose"|0.157523214817047|"3"|"73"
"Tikki"|-0.0588188866774241|"3"|"73"
"Tom"|-0.245749413967133|"3"|"73"
"Adrien"|0.0269008709324731|"NA"|"NA"
"Akumatized Ladybug Illusion"|-0.209612265229225|"NA"|"NA"
"Alya"|0.22760558873415|"NA"|"NA"
"Carapace"|-0.0156721174716949|"NA"|"NA"
"Cat Noir"|-0.0803263902664185|"NA"|"NA"
"Cat Noir Illusion"|-0.248347808917363|"NA"|"NA"
"Catalyst"|0.462939620018005|"NA"|"NA"
"Chloé"|0.0355063676834106|"NA"|"NA"
"Clara"|-0.732113867998123|"NA"|"NA"
"Clara Contard"|0.437400758266449|"NA"|"NA"
"Class"|-0.384434133768082|"NA"|"NA"
"Ella and Etta"|0.451093077659607|"NA"|"NA"
"Frightningale"|-0.590706020593643|"NA"|"NA"
"Gabriel"|0.0559561351935069|"NA"|"NA"
"Guitar Villain"|0.619814991950989|"NA"|"NA"
"Hawk Moth"|0.00364825129508972|"NA"|"NA"
"Ivan"|0.0426169037818909|"NA"|"NA"
"Jagged"|-0.694829404354095|"NA"|"NA"
"Juleka"|-0.755766302347183|"NA"|"NA"
"Ladybug"|-0.0699198966224988|"NA"|"NA"
"Lila"|-0.164243709709909|"NA"|"NA"
"Lila's Mother"|-0.371613448858261|"NA"|"NA"
"Little Girl"|-0.557653471827507|"NA"|"NA"
"Marinette"|-0.0334605995951028|"NA"|"NA"
"Master Fu"|0.700364708900452|"NA"|"NA"
"Max"|0.603798389434814|"NA"|"NA"
"Miss Bustier"|0.374307429248636|"NA"|"NA"
"Miss Bustier's class"|-0.00766801834106445|"NA"|"NA"
"Mother"|-0.481606602668762|"NA"|"NA"
"Mr. Damocles"|0.0157598952452342|"NA"|"NA"
"Nadja"|-0.701963737607002|"NA"|"NA"
"Nathalie"|0.26963255405426|"NA"|"NA"
"Nino"|-0.0509027143319448|"NA"|"NA"
"Nora"|-0.27051305770874|"NA"|"NA"
"Parisians"|-0.249290764331818|"NA"|"NA"
"Plagg"|-0.0584078629811605|"NA"|"NA"
"Pollen"|0.670453667640686|"NA"|"NA"
"Prime Queen"|0.374123334884644|"NA"|"NA"
"Queen Bee"|-0.501686349511147|"NA"|"NA"
"Rena Rouge"|-0.325516899426778|"NA"|"NA"
"Rose"|0.730410218238831|"NA"|"NA"
"Sabine"|0.132108569145203|"NA"|"NA"
"Sabrina"|-0.105243146419525|"NA"|"NA"
"Scarlet Moth"|-0.113917345801989|"NA"|"NA"
"Tikki"|0.128738526787077|"NA"|"NA"
"Timebreaker"|0.261122941970825|"NA"|"NA"
"Tom"|0.101152002811432|"NA"|"NA"
"Trixx"|-0.00340324640274048|"NA"|"NA"
"Unknown Voice"|0.701044797897339|"NA"|"NA"
"Volpina"|0.04730024933815|"NA"|"NA"
"Adrien"|0.122859346515992|"3"|"55"
"Alix"|-0.281133830547333|"3"|"55"
"Alya"|-0.0773063898086548|"3"|"55"
"Alya and Nino"|-0.612575769424438|"3"|"55"
"Bus Driver"|0.581879019737244|"3"|"55"
"Cat Noir"|-0.307626061141491|"3"|"55"
"Chameleon"|-0.220880991220474|"3"|"55"
"Chameleon "|-0.235394674539566|"3"|"55"
"Civilian"|0.162123322486877|"3"|"55"
"Civilian 2"|-0.694294571876526|"3"|"55"
"Class"|0.555766403675079|"3"|"55"
"Hawk Moth"|0.0182932184802161|"3"|"55"
"Ivan"|0.498378038406372|"3"|"55"
"Kim"|-0.316656892498334|"3"|"55"
"Ladybug"|-0.041185084552992|"3"|"55"
"Lila"|-0.147654773201793|"3"|"55"
"Marinette"|-0.219074777581475|"3"|"55"
"Marinette and Lila"|-0.586760878562927|"3"|"55"
"Max"|0.109994687139988|"3"|"55"
"Miss Bustier"|-0.0478637839357058|"3"|"55"
"Mylène"|0.669525861740112|"3"|"55"
"Nadja"|0.599076151847839|"3"|"55"
"Nino"|-0.124134838581085|"3"|"55"
"Plagg"|-0.318617140253385|"3"|"55"
"Quentin's mother"|-0.165139824151993|"3"|"55"
"Rose, Max and others"|-0.135077178478241|"3"|"55"
"Sabrina"|0.484850466251373|"3"|"55"
"Tikki"|-0.500429371992747|"3"|"55"
"Waitress"|-0.455879494547844|"3"|"55"
" Marinette"|-0.443314373493195|"3"|"76"
"Alya"|0.108493268489838|"3"|"76"
"Bear"|-0.644370749592781|"3"|"76"
"Cat Noir"|-0.022187960775275|"3"|"76"
"Chris"|-0.251791427081281|"3"|"76"
"Christmaster"|-0.345027004679044|"3"|"76"
"Colonel Woof-Woof"|0.0931899601762945|"3"|"76"
"Hawk Moth"|-0.128771760634014|"3"|"76"
"Ladybug"|-0.0356970816045194|"3"|"76"
"Ladybug and Cat Noir"|-0.587292939424515|"3"|"76"
"Ladybug, Cat Noir, and Santa Claus"|-0.271977782249451|"3"|"76"
"Marinette"|-0.17504919692874|"3"|"76"
"Nadja"|-0.487678706645966|"3"|"76"
"Nino"|0.0130391865968704|"3"|"76"
"Philippe"|-0.100882066620721|"3"|"76"
"Philippe and Cat Noir"|0.0217449069023132|"3"|"76"
"Philippe and Ladybug"|-0.587292939424515|"3"|"76"
"Roger"|-0.35618132352829|"3"|"76"
"Santa Claus"|-0.31937369026921|"3"|"76"
"Santa Claus and Ladybug"|0.0298226475715637|"3"|"76"
"Soldier"|-0.1772708867987|"3"|"76"
"Soldiers"|0.559029221534729|"3"|"76"
"T-rex"|0.324035286903381|"3"|"76"
"Tikki"|-0.511694125831127|"3"|"76"
"Tom"|-0.13704925775528|"3"|"76"
"Toy Cat Noir"|-0.726003736257553|"3"|"76"
"Toy Ladybug"|0.658301115036011|"3"|"76"
" ) Marinette"|-0.443314373493195|"1"|"9"
"Adrien"|-0.469605112075806|"1"|"9"
"Adrien's voice recorder"|0.15326714515686|"1"|"9"
"Adrien's Voicemail"|0.15326714515686|"1"|"9"
"Alya"|-0.0960090768833955|"1"|"9"
"André"|0.449198166529338|"1"|"9"
"Automated voice"|-0.367499276995659|"1"|"9"
"Cat Noir"|-0.129696717157083|"1"|"9"
"Civilian 1"|0.313398241996765|"1"|"9"
"Civilian 2"|0.153754472732544|"1"|"9"
"Copycat"|-0.0365267505771235|"1"|"9"
"Hawk Moth"|-0.12403656244278|"1"|"9"
"Ladybug"|-0.228407554115568|"1"|"9"
"Marinette"|-0.155874566095216|"1"|"9"
"Mayor Bourgeois"|-0.184736967086792|"1"|"9"
"Nadja"|0.195747137069702|"1"|"9"
"Nino"|-0.048723042011261|"1"|"9"
"Officer"|-0.739663034677505|"1"|"9"
"Plagg"|-0.204515528678894|"1"|"9"
"Police"|0.0232833176851273|"1"|"9"
"Roger"|-0.0521422113691057|"1"|"9"
"Student"|-0.73812547326088|"1"|"9"
"Théo"|0.161099103589853|"1"|"9"
"Tikki"|0.0481949044125421|"1"|"9"
"Adrien"|-0.0754899978637695|"4"|"87"
"Alix"|0.324722111225128|"4"|"87"
"Alya"|0.0426831642786662|"4"|"87"
"Anarka"|-0.449408379693826|"4"|"87"
"Captain Hardrock"|-0.301764999826749|"4"|"87"
"Cat Noir"|-0.146039021015167|"4"|"87"
"Guitar Villain"|0.155804471058004|"4"|"87"
"Ivan"|0.0318757742643356|"4"|"87"
"Jagged Stone"|-0.103240523487329|"4"|"87"
"Juleka"|0.00957537265050979|"4"|"87"
"Ladybug"|0.0943614035844803|"4"|"87"
"Ladybug, Cat Noir, & Purple Tigress"|-0.271977782249451|"4"|"87"
"Luka"|-0.0120714820921421|"4"|"87"
"Luka and Jagged"|0.475237369537354|"4"|"87"
"Marinette"|-0.364763998641418|"4"|"87"
"Mylène"|0.222327284514904|"4"|"87"
"Nino"|0.043294424811999|"4"|"87"
"Purple Tigress"|-0.320854359865189|"4"|"87"
"Random Civilian"|0.554375052452087|"4"|"87"
"Roaar"|-0.270716267824173|"4"|"87"
"Rose"|-0.122649586862988|"4"|"87"
"Shadow Moth"|-0.195243321359158|"4"|"87"
"Stylist"|0.331892907619476|"4"|"87"
"Superpower Sequence Purple Tigress"|0.425926327705383|"4"|"87"
"Zoé"|0.124105013906956|"4"|"87"
" Marinette"|-0.443314373493195|"1"|"10"
"Adrien"|-0.032812412828207|"1"|"10"
"Alya"|-0.0893222472884438|"1"|"10"
"Alya & Marinette"|0.0385928153991699|"1"|"10"
"Aurore"|0.668598651885986|"1"|"10"
"Cat Noir"|-0.311169404732554|"1"|"10"
