"Lady Wifi"|"4"|"1"|"4"|"22 October 2015"|"0.225146198830409"|"0.647887323943662"|"8"|"-0.331291053120516"
"Ladybug & Cat Noir (Origins - Part 1)"|"NA"|"NA"|"NA"|"NA"|"0.116129032258065"|"0.615384615384615"|"10"|"-0.128184323113554"
"Ladybug"|"25"|"1"|"25"|"30 October 2016"|"0.114942528735632"|"0.602150537634409"|"14"|"-0.0757275228668817"
"Lies"|"80"|"4"|"2"|"18 April 2021"|"0.0746031746031746"|"0.593406593406593"|"14"|"-0.185550547242486"
"Malediktator"|"50"|"2"|"24"|"28 October 2018"|"0.11505376344086"|"0.634615384615385"|"12"|"-0.311506183788149"
"Mayura (Heroes' Day - Part 2)"|"NA"|"NA"|"NA"|"NA"|"0.0550416281221092"|"0.424778761061947"|"12"|"-0.033277324151178"
"Mega Leech"|"91"|"4"|"13"|"26 September 2021"|"0.0774390243902439"|"0.483333333333333"|"9"|"-0.259268348625605"
"Miracle Queen (The Battle Of The Miraculous - Part 2)"|"NA"|"NA"|"NA"|"NA"|"0.0840336134453782"|"0.425531914893617"|"15"|"0.09231599900671"
"Miraculer"|"63"|"3"|"11"|"22 October 2019"|"0.148148148148148"|"0.591836734693878"|"9"|"-0.0791192088451997"
"Mr. Pigeon 72"|"82"|"4"|"4"|"23 May 2021"|"0.153985507246377"|"0.58974358974359"|"8"|"-0.25051747627192"
"Mr. Pigeon"|"6"|"1"|"6"|"23 October 2015"|"0.155844155844156"|"0.686567164179104"|"12"|"-0.23617807961515"
"Oblivio"|"59"|"3"|"7"|"26 May 2019"|"0.145"|"0.609756097560976"|"9"|"-0.251331528784862"
"Oni-Chan"|"62"|"3"|"10"|"21 October 2019"|"0.214285714285714"|"0.752941176470588"|"9"|"-0.305790537922931"
"Optigami"|"88"|"4"|"10"|"5 September 2021"|"0.0792811839323467"|"0.51063829787234"|"9"|"-0.185971226701357"
"Party Crasher"|"71"|"3"|"19"|"31 October 2019"|"0.0676767676767677"|"0.484375"|"11"|"-0.0190587479012123"
"Penalteam"|"101"|"4"|"23"|"27 February 2022"|"0.0752525252525253"|"0.531468531468531"|"11"|"-0.225579092214877"
"Pixelator"|"21"|"1"|"21"|"13 March 2016"|"0.153846153846154"|"0.577777777777778"|"15"|"-0.177793211886222"
"Prime Queen"|"30"|"2"|"4"|"29 October 2017"|"0.15"|"0.547619047619048"|"9"|"-0.0246111409393955"
"Princess Fragrance"|"22"|"1"|"22"|"20 March 2016"|"0.151666666666667"|"0.697674418604651"|"11"|"-0.244697911199797"
"Psycomedian"|"99"|"4"|"21"|"13 February 2022"|"0.13768115942029"|"0.571428571428571"|"13"|"-0.297709132794028"
"Qilin"|"102"|"4"|"24"|"6 March 2022"|"0.126780626780627"|"0.51219512195122"|"10"|"-0.458269414743705"
"Queen Banana"|"85"|"4"|"7"|"13 June 2021"|"0.104301075268817"|"0.602150537634409"|"12"|"-0.464399777344044"
"Queen Wasp (Queen's Battle - Part 2)"|"NA"|"NA"|"NA"|"NA"|"0.145299145299145"|"0.537634408602151"|"7"|"-0.12655123855462"
"Reflekdoll"|"61"|"3"|"9"|"21 October 2019"|"0.104838709677419"|"0.653465346534653"|"14"|"0.064475356022139"
"Reflekta"|"19"|"1"|"19"|"21 February 2016"|"0.168478260869565"|"0.659090909090909"|"9"|"-0.265809374037418"
"Reverser"|"46"|"2"|"20"|"7 October 2018"|"0.141025641025641"|"0.615384615384615"|"7"|"-0.247915060550378"
"Riposte"|"32"|"2"|"6"|"1 November 2017"|"0.220588235294118"|"0.666666666666667"|"11"|"-0.2709550429958"
"Risk (Shadow Moth's Final Attack - Part 1)"|"NA"|"NA"|"NA"|"NA"|"0.0881934566145092"|"0.48695652173913"|"9"|"-0.100025310958524"
"Robostus"|"33"|"2"|"7"|"3 November 2017"|"0.146153846153846"|"0.606741573033708"|"11"|"-0.0887460135416462"
"Rocketear"|"90"|"4"|"12"|"19 September 2021"|"0.166666666666667"|"0.647887323943662"|"8"|"-0.0959290566899084"
"Rogercop"|"8"|"1"|"8"|"27 October 2015"|"0.139162561576355"|"0.622641509433962"|"7"|"-0.153751928605719"
"Sandboy"|"45"|"2"|"19"|"30 September 2018"|"0.0966386554621849"|"0.594594594594595"|"10"|"0.105786916691972"
"Santa Claws"|"27"|"2"|"1"|"11 December 2016"|"0.0861742424242424"|"0.488372093023256"|"9"|"-0.18060084077987"
"Sapotis"|"37"|"2"|"11"|"21 January 2018"|"0.144268774703557"|"0.608695652173913"|"16"|"0.0600109180478645"
